gene	conMean	treatMean	logFC	pValue	fdr
COL4A1	11.8106384615385	29.3811102564103	1.31480195733116	3.03459126967475e-08	9.96228293050394e-08
SVEP1	2.43632564102564	0.804117948717949	-1.59922793998433	2.23839961743177e-09	8.86342597329026e-09
SALL1	0.931292307692308	0.419451282051282	-1.15073080626715	1.86641404000326e-07	5.4524088476319e-07
ADAMTSL1	1.33078461538462	0.37534358974359	-1.82599334362591	8.99727546084138e-16	1.65213706539186e-14
HDAC9	0.882328205128205	0.218784615384615	-2.01180411041068	2.7409324776621e-20	2.41057798430177e-18
EPHA3	1.07728974358974	0.514458974358974	-1.06627838483144	5.48080225249105e-05	0.00011155201661282
ACAN	0.119402564102564	1.08405384615385	3.18253069562189	5.6816532137402e-16	1.13024315716189e-14
TRPA1	2.8196641025641	1.09199230769231	-1.36856061574575	4.00173037856466e-10	1.83202505824152e-09
COL5A2	7.55411794871795	27.8858282051282	1.88419690438965	1.48591910262501e-08	5.16210149789271e-08
CALD1	61.5831256410256	24.2292205128205	-1.34578710091929	0.017270634794013	0.0241499838835111
ACACB	4.57545641025641	1.29182564102564	-1.82450430087262	1.35650438438719e-18	6.86884492821513e-17
MGAM	3.80217948717949	0.131733333333333	-4.85113428670914	1.69410886722806e-06	4.24416179480973e-06
PRUNE2	7.58028205128205	3.11635384615385	-1.28239247658566	0.000801018717173114	0.00138418022378105
TIAM1	1.01251538461538	0.454905128205128	-1.15430622559874	1.38661285683519e-09	5.72106193523852e-09
FLNB	60.0648564102564	29.2332358974359	-1.03891159212771	7.10344724508625e-09	2.62607529790689e-08
ACACA	3.62702564102564	7.35491794871795	1.01992230251532	4.21358682133746e-10	1.92374414711882e-09
STAB1	11.9722461538462	4.40837692307692	-1.44137435963853	6.23471338367951e-11	3.49604230339881e-10
BRINP3	2.76830769230769	0.0871435897435897	-4.98946595052336	5.31405610503406e-14	5.95958909497444e-13
SLIT3	4.37096666666667	0.928879487179487	-2.234389037447	6.76105101475498e-15	9.41476353804631e-14
MKI67	7.15181282051282	15.1438025641026	1.08234662381527	3.74576791389191e-07	1.0431963640189e-06
NUP205	6.22203846153846	12.4923102564103	1.00558108735532	5.21263088997147e-13	4.56036974719494e-12
MPDZ	1.43961538461538	0.623541025641026	-1.20712703513059	1.58016939798167e-06	3.97660100004122e-06
PLXNA1	3.31530769230769	9.12958717948718	1.46140685361384	5.66342050150542e-17	1.57726260966926e-15
AXIN2	5.47454615384615	34.979041025641	2.67567946361894	2.18977357680202e-16	5.08209950949469e-15
PLCG2	2.84039743589744	0.748535897435897	-1.92394939935914	5.66342050150542e-17	1.57726260966926e-15
SAMD9	7.53501282051282	3.0113717948718	-1.32318912709543	3.09563626022369e-10	1.48217999737358e-09
CNTN4	1.23594358974359	0.232879487179487	-2.40795742530087	1.21500049250675e-13	1.26103467265763e-12
TRPM6	13.6377564102564	0.926371794871795	-3.87987118297002	8.97910483445883e-13	7.39117447210872e-12
CHL1	1.38421794871795	0.234430769230769	-2.56183727473999	1.90972449586384e-17	6.02103704261977e-16
SPTBN2	0.451448717948718	4.5449358974359	3.33162592650936	2.93933777765372e-22	7.01661918065624e-20
TTK	2.05840512820513	5.15636923076923	1.32482861763574	1.28823456044545e-10	6.74808761913588e-10
COL1A2	53.1164179487179	177.560971794872	1.74108474671489	6.50797942387495e-07	1.73719386857748e-06
COL4A5	0.808430769230769	0.324866666666667	-1.31527651056156	2.91674895765226e-08	9.63218875145637e-08
